epochs,lr,decay_rate,error
10,1e-05,1e-07,32.09655207393104
10,1e-05,1e-06,36.23918126805308
10,1e-05,1e-05,32.823450003027126
10,1e-05,0.0001,35.11951081293349
10,1e-05,0.001,33.379283829579414
10,1e-05,0.01,39.7167685918264
10,0.0001,1e-07,0.2616569413179555
10,0.0001,1e-06,0.2379288001951546
10,0.0001,1e-05,0.2543324930018104
10,0.0001,0.0001,0.2503454850009883
10,0.0001,0.001,0.2360133706694732
10,0.0001,0.01,0.1640657137099523
50,1e-05,1e-07,0.0320079621372594
50,1e-05,1e-06,0.0612890502985955
50,1e-05,1e-05,0.0595709793370172
50,1e-05,0.0001,0.032689424861491
50,1e-05,0.001,1.117622233002168
50,1e-05,0.01,16.034435738078226
50,0.0001,1e-07,0.2387688839823454
50,0.0001,1e-06,0.2471763164098536
50,0.0001,1e-05,0.2455091456309247
50,0.0001,0.0001,0.2142400671515737
50,0.0001,0.001,0.0746223878572712
50,0.0001,0.01,0.0166823416818712
100,1e-05,1e-07,0.0230786281086914
100,1e-05,1e-06,0.0217635898912309
100,1e-05,1e-05,0.0216985451851375
100,1e-05,0.0001,0.0148183485334669
100,1e-05,0.001,0.0756314184855167
100,1e-05,0.01,14.089513775175464
100,0.0001,1e-07,0.229361287806046
100,0.0001,1e-06,0.237023348550401
100,0.0001,1e-05,0.2352404060625962
100,0.0001,0.0001,0.1387005723119713
100,0.0001,0.001,0.0076264681078932
100,0.0001,0.01,0.0162884107724324
500,1e-05,1e-07,0.0223542570140263
500,1e-05,1e-06,0.0200335249522509
500,1e-05,1e-05,0.0067011280729278
500,1e-05,0.0001,0.0017530580547255
500,1e-05,0.001,0.080945250870229
500,1e-05,0.01,14.244477203860514
500,0.0001,1e-07,0.2420219135788825
500,0.0001,1e-06,0.2145926582147226
500,0.0001,1e-05,0.069841151630237
500,0.0001,0.0001,0.0022758720799805
500,0.0001,0.001,0.0059950276864036
500,0.0001,0.01,0.0163482683707473
1000,1e-05,1e-07,0.0218063019549435
1000,1e-05,1e-06,0.0142891766462087
1000,1e-05,1e-05,0.0007650110987792
1000,1e-05,0.0001,0.0017198580663367
1000,1e-05,0.001,0.1414739124736299
1000,1e-05,0.01,21.456570193627464
1000,0.0001,1e-07,0.2377700022226179
1000,0.0001,1e-06,0.1454726864584056
1000,0.0001,1e-05,0.002176348049319
1000,0.0001,0.0001,0.0023651256453155
1000,0.0001,0.001,0.0061856875214071
1000,0.0001,0.01,0.0164521009882796
2500,1e-05,1e-07,0.016655219703463
2500,1e-05,1e-06,0.0011110222916326
2500,1e-05,1e-05,0.0006343107265698
2500,1e-05,0.0001,0.0015602369401213
2500,1e-05,0.001,0.0371086956056307
2500,1e-05,0.01,21.379506161423706
2500,0.0001,1e-07,0.1788788313258579
2500,0.0001,1e-06,0.0101426183846174
2500,0.0001,1e-05,0.0008330696623997
2500,0.0001,0.0001,0.0022491471298061
2500,0.0001,0.001,0.0061008200715971
2500,0.0001,0.01,0.0169090891889334
5000,1e-05,1e-07,0.0065904691449006
5000,1e-05,1e-06,0.0002232329067966
5000,1e-05,1e-05,0.0006268813371735
5000,1e-05,0.0001,0.0019342347777733
5000,1e-05,0.001,0.0682996709493388
5000,1e-05,0.01,17.32618419533197
5000,0.0001,1e-07,0.0645685903494025
5000,0.0001,1e-06,0.0002779985398569
5000,0.0001,1e-05,0.0008431609774001
5000,0.0001,0.0001,0.0023480332929305
5000,0.0001,0.001,0.0063894478677866
5000,0.0001,0.01,0.0164173106731577
